"DGT_DATASET_NAME","DGT_DATASET_REGEX","DGT_RUN_NUMBER_FROM","DGT_RUN_NUMBER_TO","DGT_RUN_CLASS"
"/PromptReco/Collisions2015E/DQM","/ZeroBias/Run2015E-PromptReco-v.*?/DQMIO
/HighPtLowerPhotons/Run2015E-PromptReco-v.*?/DQMIO
/SingleMuLowPt/Run2015E-PromptReco-v1/DQMIO
/SingleMuHighPt/Run2015E-PromptReco-v1/DQMIO
",262173,262328,"Collisions15"
"/Express/Cosmics2016/DQM","/StreamExpressCosmics/Run2016.*?-Express-v.*?/DQMIO",279000,284180,"Cosmics16"
"/PromptReco/VdMscan/DQM","/ZeroBias0/Run2016B-PromptReco-v2/DQMIO
/ZeroBias1/Run2016B-PromptReco-v2/DQMIO",274100,274100,"Collisions16"
"/PromptReco/MuScan/DQM","/StreamExpress/Run2016B-Express-v.*?/DQMIO",274956,274956,"Collisions16"
"/Express/Collisions2016/DQM","/StreamExpress/Run2016C-Express-v2/DQMIO",275420,276310,"Collisions16"
"/PromptReco/Collisions2016C/DQM","/ZeroBias/Run2016C-PromptReco-v.*?/DQMIO
/SingleMuon/Run2016C-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2016C-PromptReco-v.*?/DQMIO
/JetHT/Run2016C-PromptReco-v.*?/DQMIO",275420,276310,"Collisions16"
"/PromptReco/Cosmics16C/DQM","/Cosmics/Run2016C-PromptReco-v.*?/DQMIO",276075,276310,"Cosmics16"
"/Express/Collisions2016/DQM","/StreamExpress/Run2016E-Express-v2/DQMIO",276831,999999,"Collisions16"
"/PromptReco/TRKDelay","/ZeroBias1/Run2016F-PromptReco-v1/DQMIO
/ZeroBias2/Run2016F-PromptReco-v1/DQMIO",277935,277935,"Collisions16"
"/PromptReco/PixelBiasScan/DQM","/ZeroBias1/Run2016F-PromptReco-v.*?/DQMIO
/ZeroBias2/Run2016F-PromptReco-v.*?/DQMIO",277983,277990,"Collisions16"
"/PromptReco/MuScan/DQM","/AlCaLumiPixels0/Run2016F-PromptReco-v1/DQMIO
/AlCaLumiPixels1/Run2016F-PromptReco-v1/DQMIO",277982,277982,"Collisions16"
"/PromptReco/Collisions2016H/DQM","/ZeroBias/Run2016H-PromptReco-v.*?/DQMIO
/SingleMuon/Run2016H-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2016H-PromptReco-v.*?/DQMIO
/JetHT/Run2016H-PromptReco-v.*?/DQMIO",281010,284180,"Collisions16"
"/PromptReco/Cosmics16H/DQM","/Cosmics/Run2016H-PromptReco-v.*?/DQMIO",280993,284180,"Cosmics16"
"/Express/Cosmics2017/DQM","/StreamExpressCosmics/Commissioning2017-Express-v.*?/DQMIO",293416,294644,"Cosmics17"
"/PromptReco/Cosmics17/DQM","/Cosmics/Commissioning2017-PromptReco-v1/DQMIO",293416,294644,"Cosmics17"
"/PromptReco/Cosmics2012A/DQM","/Cosmics/Run2012A-PromptReco-v.*?/DQM
",190450,193749,"Cosmics12"
"/PromptReco/Cosmics2012D/DQM","/Cosmics/Run2012D-PromptReco-v.*?/DQM",203768,300000,"Cosmics12"
"/PromptReco/Collisions2012D/DQM","/SingleMu/Run2012D-PromptReco-v.*?/DQM
/MinimumBias/Run2012D-PromptReco-v.*?/DQM
/JetHT/Run2012D-PromptReco-v.*?/DQM
/SinglePhoton/Run2012D-PromptReco-v.*?/DQM",203768,300000,"Collisions12"
"/PromptReco/ZeroBias2012D/DQM","/ZeroBias1/Run2012D-PromptReco-v1/DQM ",206251,206251,"Collisions12"
"/Run2012D-22Jan2013ReReco/DQM","/SingleMu/Run2012D-22Jan2013-v.*?/DQM
/MinimumBias/Run2012D-22Jan2013-v.*?/DQM
/JetHT/Run2012D-22Jan2013-v.*?/DQM
/SinglePhotonParked/Run2012D-22Jan2013-v.*?/DQM",203777,208686,"Collisions12"
"/PromptReco/Cosmics13GRIN/DQM","/Cosmics/Commissioning2013-PromptReco-v1/DQM",215000,230000,"Cosmics13GRiN"
"/Express/Cosmics2014AGR/DQM","/StreamExpressCosmics/Commissioning2014-Express-v1/DQM",220000,300000,"Cosmics14AGR"
"/Express/Commissioning2014AGR/DQM","/StreamExpressCosmics/Commissioning2014-Express-v1/DQM",220000,223000,"Commissioning14"
"/Express/Commissioning2014MWGR4/DQM","/StreamExpressCosmics/Commissioning2014-Express-v3/DQM",224900,225499,"Commissioning14"
"/PromptReco/Cosmics14ECR/DQM","/Cosmics/Commissioning2014-PromptReco-v.*?/DQM",228000,229900,"Cosmics14"
"/PromptReco/Cosmics15CRAFT/DQM","/Cosmics/Commissioning2015-PromptReco-v1/DQM",238344,239700,"Cosmics15"
"/PromptReco/Commissioning2015A/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/SingleMuon/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO",248036,248038,"Collisions15"
"/PromptReco/Collisions2015B/DQM","/ZeroBias.*?/Run2015B-PromptReco-v.*?/DQMIO
/SingleMu/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO",251025,251130,"Collisions15"
"/PromptReco/Collisions2015B/DQM","/ZeroBias/Run2015B-PromptReco-v.*?/DQMIO

/Commissioning/Run2015B-PromptReco-v.*?/DQMIO",251491,251500,"Collisions15"
"/PromptReco/Cosmics2015E/DQM","/Cosmics/Run2015E-PromptReco-v.*?/DQMIO",261436,262464,"Cosmics15"
"/Express/Collisions2015/DQM","/StreamExpress.*?/HIRun2015.*?-Express-v.*?/DQMIO",262548,300000,"Collisions15"
"/PromptReco/HICollisions2015/DQM","/HIHardProbes/HIRun2015-PromptReco-v1/DQMIO
/HIOniaTnP/HIRun2015-PromptReco-v1/DQMIO
/HIMinimumBias1/HIRun2015-PromptReco-v1/DQMIO",262548,263231,"Collisions15"
"/Express/Collisions2016/DQM","/StreamExpress/Run2016F-Express-v1/DQMIO",277772,278808,"Collisions16"
"/PromptReco/Cosmics16F/DQM","/Cosmics/Run2016F-PromptReco-v.*?/DQMIO",277772,278798,"Cosmics16"
